name
Big Choice Big Musuro Daal 1kg
Big Choice Chana Daal -1Kg
"Big Choice Regular Rahar Non Polish Daal, 1Kg"
Big Choice Moong Dal -1Kg
"Big Choice Rahar Non Polish Premium Daal, 1Kg"
Big Choice Mixed Daal 1Kg
"Big Choice Regular Maas Non Polish Daal, 1kg"
Big Choice Moong Kosta Daal 1Kg
Big Choice Small Musuro Daal 1kg
Big Choice Maas Non Polish Premium Daal - 1kg
Shrimann Moong Chaata Dal 1 kg
Big Choice Local Moong Daal 1Kg
Shrimann Mix Dal -1Kg
Local Kalo Dal 1Kg
"Big Choice Maas Chhata Daal, 1Kg"
Khoste Moongko Dal 1Kg
Himali Organic Gahat Daal 1kg
Thulo Musuriko Dal 1Kg
Big Choice Premium Rahar Non Polish Daal 5Kg
Rahar Daal (Pegeon Pea Split) 1Kg
Himali Organic Simi Daal 1kg
Baluwatar Organics Kalo Simi Daal 1Kg
Himali Organic Mung Daal 1kg
Baluwatar Organics Gahat Daal 1Kg
Moong Daal 1Kg
Mixed Dal 1KG
Rahar Daal (Pegeon Pea Split) 1Kg
Red Big Lentils(Musuro Daal)-1Kg
Himali Organic Musuro Daal 1kg
Himali Organic Mas Daal  1kg
Baluwatar Organics Kalo Simi Daal 500g
Split Black Gram ( Local Maas Ko Dal )
Split Red Lentils 1Kg
Baluwatar Organics Gahat Daal 500g
Himali Organic Rahar Daal 1kg
Dhiki Jato Mustang Kalo Simi Daal 1kg
Gahat Daal 1Kg
Baluwatar Organics White Simi Daal 500g
Baluwatar Organics Rajma Daal 500g
Baluwatar Organics Black Daal 500g
